type,title,date,authors,doi,publisher,venue,location
paper-conference,Learning deep features for discriminative localization,2016,"['Bolei Zhou', 'Aditya Khosla', 'Agata Lapedriza', 'Aude Oliva', 'Antonio Torralba']",temp133,,Proceedings of the IEEE conference on computer vision and pattern recognition,
paper-conference,Jointly Boosting Saliency Prediction and Disease Classification on Chest X-ray Images with Multi-task UNet,2022,"['Hongzhi Zhu', 'Robert Rohling', 'Septimiu Salcudean']",temp134,Springer,Annual Conference on Medical Image Understanding and Analysis,
article-journal,Hand-eye coordination-based implicit re-calibration method for gaze tracking on ultrasound machines: a statistical approach,2020,"['Hongzhi Zhu', 'Robert N. Rohling', 'Septimiu E. Salcudean']",temp135,,International journal of computer assisted radiology and surgery,
article-journal,The Neyman Pearson detection of microsaccades with maximum likelihood estimation of parameters,"['2019', '2019']","['Hongzhi Zhu', 'Septimiu Salcudean', 'Robert Rohling']",temp136,,Journal of vision,
article-journal,A novel gaze-supported multimodal human–computer interaction for ultrasound machines,2019,"['Hongzhi Zhu', 'Septimiu E. Salcudean', 'Robert N. Rohling']",temp137,,International journal of computer assisted radiology and surgery,
short-paper,Conditions of Preserving Mental Images by Contour Deformation,2022,['Kazuo Misue'],10.1145/3554944.3554953,ACM,vinci,
article-journal,A New Method for Subdivision Simplification with Applications to Urban-Area Generalization,2011,"['Kevin Buchin', 'Wouter Meulemans', 'Bettina Speckmann']",10.1145/2093973.2094009,,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems(Chicago,
chapter,Spatial Factors Affecting User’s Perception in Map Simplification: An Empirical Analysis,2008,"['Vincenzo Del Fatto', 'Luca Paolino', 'Monica Sebillo', 'Giuliana Vitiello', 'Genoveffa Tortora']",temp139,Springer,Web and Wireless Geographical Information Systems,"Berlin Heidelberg, Berlin, Heidelberg"
paper-conference,Exploring Curved Schematization,2014,"['Arthur Goethem', 'Wouter Meulemans', 'Bettina Speckmann', 'Jo Wood']",10.1109/PacificVis.2014.11,,2014 IEEE Pacific Visualization Symposium,
paper-conference,Cartographic generalization in a digital environment: When and how to generalize,1989,"['K.Stuart Shea', 'Robert B. McMaster']",temp141,,Proceedings of Auto-Carto,
article-journal,Exploring Curved Schematization of Territorial Outlines,2015,"['Arthur Goethem', 'Wouter Meulemans', 'Bettina Speckmann', 'Jo Wood']",10.1109/TVCG.2015.2401025,,IEEE Transactions on Visualization and Computer Graphics,
,Line generalisation by repeated elimination of the smallest area,1992,"['Maheswari Visvalingam', 'James Duncan Whyatt']",temp143,"University of Hull, Cartographic Information Systems Research Group, Cottingham Rd",,Hull HU6
research-article,Group Diagrams for Simplified Representation of Scanpaths,2022,"['Peter Schaefer', 'Nils Rodrigues', 'Daniel Weiskopf', 'Sabine Storandt']",10.1145/3554944.3554971,ACM,vinci,
article-journal,Computing the Fréchet Distance between two Polygonal Curves,"['1995', '1995']","['Helmut Alt', 'Michael Godau']",10.1142/S0218195995000064,,International Journal of Computational Geometry and Applications,
article-journal,A comparison of scanpath comparison methods,"['2015', '2015-12']","['Nicola C. Anderson', 'Fraser Anderson', 'Alan Kingstone', 'Walter F. Bischof']",10.3758/s13428-014-0550-3,,Behavior Research Methods,
article-journal,Visual analytics methodology for eye movement studies,"['2012', '2012-12']","['Gennady Andrienko', 'Natalia Andrienko', 'Michael Burch', 'Daniel Weiskopf']",10.1109/tvcg.2012.276,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Walking the dog fast in practice: algorithm engineering of the Fréchet distance,2019,"['Karl Bringmann', 'Marvin Künnemann', 'André Nusser']",10.4230/LIPIcs.SoCG.2019.17,,"['35th International Symposium on Computational Geometry (SoCG 2019)(Leibniz International Proceedings in Informatics (LIPIcs), Vol. 129', 'Schloss Dagstuhl–Leibniz-Zentrum fuer Informatik']","Dagstuhl, Germany"
chapter,Detecting Commuting Patterns by Clustering Subtrajectories,2008,"['Kevin Buchin', 'Maike Buchin', 'Joachim Gudmundsson', 'Maarten Löffler', 'Jun Luo']",temp148,Springer,"Algorithms and Computation, Seok-Hee Hong","Berlin, Heidelberg"
article-journal,Median trajectories,"['2013', '2013']","['Kevin Buchin', 'Maike Buchin', 'Marc Kreveld', 'Maarten Löffler', 'Rodrigo I. Silveira', 'Carola Wenk', 'Lionov Wiratma']",temp149,,Algorithmica,
article-journal,Similarity of trajectories taking into account geographic context,"['2014', '2014']","['Maike Buchin', 'Somayeh Dodge', 'Bettina Speckmann']",temp150,,Journal of Spatial Information,
article-journal,Group diagrams for representing trajectories,2020,"['Maike Buchin', 'Bernhard Kilgus', 'Andrea Kölzsch']",10.1080/13658816.2019.1684498,,International Journal of Geographical Information Science,
chapter,Computational movement analysis,2011,"['Joachim Gudmundsson', 'Patrick Laube', 'Thomas Wolle']",temp152,Springer,Springer Handbook of Geographic Information,
paper-conference,Computing longest duration flocks in trajectory data,2006,"['Joachim Gudmundsson', 'Marc Kreveld']",10.1145/1183471.1183479,,Proceedings of the 14th Annual ACM International Symposium on Advances in Geographic Information Systems,
paper-conference,RoadRunner: improving the precision of road network inference from GPS trajectories,2018,"['Songtao He', 'Favyen Bastani', 'Sofiane Abbar', 'Mohammad Alizadeh', 'Hari Balakrishnan', 'Sanjay Chawla', 'Sam Madden']",10.1145/3274895.3274974,,Proceedings of the 26th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,
paper-conference,Modeling herds and their evolvements from trajectory data,2008,"['Yan Huang', 'Cai Chen', 'Pinliang Dong']",10.1007/978-3-540-87473-7_6,Springer,International Conference on Geographic Information Science,
report,Swarm: Mining relaxed temporal moving object clusters,2010,"['Zhenhui Li', 'Bolin Ding', 'Jiawei Han', 'Roland Kays']",10.14778/1920841.1920934,"Illinois Univ. at Urbana-Champaign, Dept. of Computer Science",,
article-journal,User performance and reading strategies for metro maps: An eye tracking study,"['2016', '2016-09']","['Rudolf Netzel', 'Bettina Ohlhausen', 'Kuno Kurzhals', 'Robin Woods', 'Michael Burch', 'Daniel Weiskopf']",10.1080/13875868.2016.1226839,,Spatial Cognition & Computation,
article-journal,Scanpath visualization and comparison using visual aggregation techniques,"['2017', '2017']","['Vsevolod Peysakhovich', 'Christophe Hurter']",temp158,,Journal of Eye Movement Research,
paper-conference,A visual approach for scan path comparison,2014,"['Michael Raschke', 'Dominik Herr', 'Tanja Blascheck', 'Thomas Ertl', 'Michael Burch', 'Sven Willmann', 'Michael Schrauf']",10.1145/2578153.2628810,,Proceedings of the Symposium on Eye Tracking Research and Applications,
paper-conference,Multiscale scanpath visualization and filtering,2018,"['Nils Rodrigues', 'Rudolf Netzel', 'Joachim Spalink', 'Daniel Weiskopf']",10.1145/3205929.3205931,,Proceedings of the 3rd Workshop on Eye Tracking and Visualization,
,Group Diagrams,2022,['Peter Schäfer'],temp161,,,
article-journal,A review of moving object trajectory clustering algorithms,"['2017', '2017']","['Guan Yuan', 'Penghui Sun', 'Jie Zhao', 'Daxing Li', 'Canwei Wang']",10.1007/s10462-016-9477-7,,Artificial Intelligence Review,
research-article,Accelerating GPU Rendering of 2D Visualizations Using Resolution Scaling and Temporal Reconstruction,2022,"['Michael Becher', 'Moritz Heinemann', 'Thomas Marmann', 'Guido Reina', 'Daniel Weiskopf', 'Thomas Ertl']",10.1145/3554944.3554947,ACM,vinci,
article-journal,Generating exact ray-traced animation frames by reprojection,"['1995', '1995-05']","['Stephen J. Adelson', 'Larry F. Hodges']",10.1109/38.376612,,IEEE Computer Graphics and Applications,
,FidelityFX Super Resolution 1.0 (FSR,2021,['Advanced Micro Devices'],temp164,,,
,UCI Machine Learning Repository,2017,"['Dheeru Dua', 'Casey Graff']",temp165,,,
article-journal,Interactive Progressive Visualization with Space-Time Error Control,"['2014', '2014-12']","['Steffen Frey', 'Filip Sadlo', 'Kwan-Liu Ma', 'Thomas Ertl']",10.1109/tvcg.2014.2346319,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,MegaMol – A Comprehensive Prototyping Framework for Visualizations,"['2019', '2019-03']","['Patrick Gralka', 'Michael Becher', 'Matthias Braun', 'Florian Frieß', 'Christoph Müller', 'Tobias Rau', 'Karsten Schatz', 'Christoph Schulz', 'Michael Krone', 'Guido Reina', 'Thomas Ertl']",10.1140/epjst/e2019-800167-5,,The European Physical Journal Special Topics,
article-journal,Visual analysis of droplet dynamics in large-scale multiphase spray simulations,"['2021', '2021-05']","['Moritz Heinemann', 'Steffen Frey', 'Gleb Tkachev', 'Alexander Straub', 'Filip Sadlo', 'Thomas Ertl']",10.1007/s12650-021-00750-6,,Journal of Visualization,
article-journal,Progressive Splatting of Continuous Scatterplots and Parallel Coordinates,"['2011', '2011-06']","['J. Heinrich', 'S. Bachthaler', 'D. Weiskopf']",10.1111/j.1467-8659.2011.01914.x,,Computer Graphics Forum,
,High-Quality Temporal Supersampling,2014,['Brian Karis'],temp170,,,
article-journal,Adaptive Concrete Beams Equipped With Integrated Fluidic Actuators,"['2020', '2020-07']","['Christian Kelleter', 'Timon Burghardt', 'Hansgeorg Binz', 'Lucio Blandini', 'Werner Sobek']",10.3389/fbuil.2020.00091,,Frontiers in Built Environment,
article-journal,Progressive Rendering Using Multi-frame Sampling,2018,"['Daniel Limberger', 'Karsten Tausche', 'Johannes Linke', 'Jürgen Döllner']",10.1201/9781351261524,,"['GPU Pro 360: Guide to Rendering', 'A K Peters/CRC Press']",
,DLSS 2.0 - Image reconstruction for real-time rendering with deep learning,2020,['Edward Liu'],temp173,,,
article-journal,Study of Visual Acuity during the Ocular Pursuit of Moving Test Objects I Introduction*,"['1958', '1958-11']","['Elek Ludvigh', 'James W. Miller']",10.1364/josa.48.000799,,Journal of the Optical Society of America,
,Rendering ’Rainbow Six Siege’,2016,['Jalal El Mansouri'],temp175,,,
report,Checkerboard Rendering for Real-Time Upscaling on Intel Integrated Graphics,2018,"['Trapper Mcferron', 'Adam Lake']",temp176,,,
article-journal,"Study of Visual Acuity during the Ocular Pursuit of Moving Test Objects II Effects of Direction of Movement, Relative Movement, and Illumination*","['1958', '1958-11']",['James W. Miller'],10.1364/josa.48.000803,,Journal of the Optical Society of America,
article-journal,Frameless Volume Visualization,"['2016', '2016-02']","['Kaloian Petkov', 'Arie E. Kaufman']",10.1109/tvcg.2015.2440262,,IEEE Transactions on Visualization and Computer Graphics,
chapter,A Survey on Temporal Coherence Methods in Real-Time Rendering,2011,"['Daniel Scherzer', 'Lei Yang', 'Oliver Mattausch', 'Diego Nehab', 'Pedro V. Sander', 'Michael Wimmer', 'Elmar Eisemann']",10.2312/EG2011/STARS/101-126,,Eurographics 2011 - State of the Art Reports,
book,Designing the User Interface: Strategies for Effective Human-computer Interaction,2010,"['B. Shneiderman', 'C. Plaisant']",10.5555/1593001,Addison-Wesley,,
article-journal,Image Quality Assessment: From Error Visibility to Structural Similarity,"['2004', '2004-04']","['Z. Wang', 'A.C. Bovik', 'H.R. Sheikh', 'E.P. Simoncelli']",10.1109/tip.2003.819861,,IEEE Transactions on Image Processing,
paper-conference,Coarse pixel shading with temporal supersampling,2018,"['Kai Xiao', 'Gabor Liktor', 'Karthik Vaidyanathan']",10.1145/3190834.3190850,,Proceedings of the ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games. ACM,
article-journal,Neural supersampling for real-time rendering,"['2020', '2020-08']","['Lei Xiao', 'Salah Nouri', 'Matt Chapman', 'Alexander Fix', 'Douglas Lanman', 'Anton Kaplanyan']",10.1145/3386569.3392376,,ACM Transactions on Graphics,
article-journal,A Survey of Temporal Antialiasing Techniques,"['2020', '2020-05']","['Lei Yang', 'Shiqiu Liu', 'Marco Salvi']",10.1111/cgf.14018,,Computer Graphics Forum,
article-journal,Amortized supersampling,"['2009', '2009-12']","['Lei Yang', 'Diego Nehab', 'Pedro V. Sander', 'Pitchaya Sitthi-amorn', 'Jason Lawrence', 'Hugues Hoppe']",10.1145/1618452.1618481,,ACM Transactions on Graphics,
research-article,Animated Transitions for Small-Scale Visualizations,2022,"['Franziska Huth', 'Tanja Blascheck', 'Steffen Koch', 'Thomas Ertl']",10.1145/3554944.3554945,ACM,vinci,
article-journal,"Animation, small multiples, and the effect of mental map preservation in dynamic graphs",2011,"['D. Archambault', 'H.C. Purchase', 'B. Pinaud']",10.1109/TVCG.2010.78,,IEEE Transactions on Visualization and Computer Graphics,
chapter,Word-Sized Eye-Tracking Visualizations,2015,"['Fabian Beck', 'Tanja Blascheck', 'Thomas Ertl', 'Daniel Weiskopf']",10.1007/978-3-319-47024-5_7,Springer International Publishing,Workshop on Eye Tracking and Visualization(ETVIS ’15,
article-journal,Word-Sized Graphics for Scientific Texts,"['2017', '2017-06']","['Fabian Beck', 'Daniel Weiskopf']",10.1109/TVCG.2017.2674958,,IEEE Transactions on Visualization and Computer Graphics,
chapter,Perceptual Affordances of Wall-Sized Displays for Visualization Applications,2013,"['Anastasia Bezerianos', 'Petra Isenberg', 'Olivier Chapuis', 'Wesley Willett']",10.2788/50183,,"CHI Workshop on Interactive, Ultra-High-Resolution Displays(BigWallHCI",
paper-conference,A Replication Study on Glanceable Visualizations: Comparing Different Stimulus Sizes on a Laptop Computer,2021,"['Tanja Blascheck', 'Petra Isenberg']",10.5220/0010328501330143,Science and Technology Publications,"IVAPP 2021-12th International Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications. SCITEPRESS",
article-journal,Information Visualization Evaluation Using Crowdsourcing,"['2018', '2018']","['R. Borgo', 'L. Micallef', 'B. Bach', 'F. McGee', 'B. Lee']",10.1111/cgf.13444,,Computer Graphics Forum,
article-journal,Scatterblogs2: Real-time monitoring of microblog messages through user-guided filtering,2013,"['H. Bosch', 'D. Thom', 'F. Heimerl', 'E. Puttmann', 'S. Koch', 'R. Krãijger', 'M. Wãűrner', 'T. Ertl']",10.1109/TVCG.2013.186,,IEEE Transactions on Visualization and Computer Graphics,
,D3.js - Data-Driven Documents,2012,['Mike Bostock'],temp193,,,
article-journal,A Comparative Evaluation of Animation and Small Multiples for Trend Visualization on Mobile Phones,2020,"['Matthew Brehmer', 'Bongshin Lee', 'Petra Isenberg', 'Eun Kyoung Choe']",10.1109/TVCG.2019.2934397,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Common Fate for Animated Transitions in Visualization,"['2020', '2020-01']","['Amira Chalbi', 'Jacob Ritchie', 'Deokgun Park', 'Jungu Choi', 'Nicolas Roussel', 'Niklas Elmqvist', 'Fanny Chevalier']",10.1109/TVCG.2019.2934288,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Visualizing information on mobile devices,"['2006', '10/9/2007']",['L. Chittaro'],10.1109/MC.2006.109,,Date of Input,
article-journal,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,"['2008', '2008-11']","['Niklas Elmqvist', 'Pierre Dragicevic', 'Jean-Daniel Fekete']",10.1109/TVCG.2008.153,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Interaction Techniques for Visual Exploration Using Embedded Word-Scale Visualizations,2020,"['Pascal Goffin', 'Petra Isenberg', 'Tanja Blascheck', 'Wesley Willett']",10.1145/3313831.3376842,,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems(CHI ’20). Association for Computing Machinery,
article-journal,Animated Transitions in Statistical Data Graphics,"['2007', '2007-11']","['Jeffrey Heer', 'George Robertson']",10.1109/TVCG.2007.70539,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Techniques for Flexible Responsive Visualization Design,2020,"['Jane Hoffswell', 'Wilmot Li', 'Zhicheng Liu']",10.1145/3313831.3376777,,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems. Association for Computing Machinery,
paper-conference,Augmenting Code with In Situ Visualizations to Aid Program Understanding,2018,"['Jane Hoffswell', 'Arvind Satyanarayan', 'Jeffrey Heer']",10.1145/3173574.3174106,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems(CHI ’18). Association for Computing Machinery,
chapter,Responsive Visualization Design for Mobile Devices,2021,"['Tom Horak', 'Wolfgang Aigner', 'Matthew Brehmer', 'Alark Joshi', 'Christian Tominski']",10.1201/9781003090823-2,Chapman and Hall/CRC,Mobile Data,
